Monetary Policy Rate (%),"Consumer Price Index, All Items","USD Exchange Rate, monthly averages",Total Liquidity (M2+),Gold Price (Realised Gold Price),Return on Assets,Non Performing Loan Ratio,Capital Adequacy Ratio,Date,GDP_Real
13.5,98.44345,5.7333,120451.5,1879.7,4.503713544,16.80307075,21.4377713,2021-05-01,40520.53272
13.5,99.69114,5.7524,121891.3,1829.3,4.65648785,17.04380185,20.67294259,2021-06-01,41626.24726
13.5,101.32045,5.7848,122643.8,1809.6,4.63376792,17.01330259,20.65151737,2021-07-01,42731.9618
13.5,101.59289,5.8264,123548.6,1789.6,4.610905063,17.26618327,20.68980329,2021-08-01,44153.0412
13.5,102.2446,5.8592,39156.13,1777.4,4.610683559,16.83369022,19.88619961,2021-09-01,45574.120599999995
13.5,102.86702,5.8818,129231.0,1777.7,4.442416733,16.36788111,19.82332317,2021-10-01,46995.2
14.5,104.32379,5.907,131645.9,1824.1,4.434830985,15.96524995,19.68576375,2021-11-01,46975.7
14.5,105.60845,5.9469,135555.7,1795.1,4.531817976,15.22994592,19.60260809,2021-12-01,46956.2
14.5,107.83941,6.0104,137474.3,1820.2,4.52457963,14.22013007,19.32141887,2022-01-01,46936.7
14.5,110.38393,6.3076,139444.4,1864.9,4.265987901,14.40220728,19.55518947,2022-02-01,45074.23333333333
17.0,114.85201,7.0465,142729.1,1929.1,4.679440551,14.42276133,21.31416397,2022-03-01,43211.76666666667
17.0,120.76402,7.1123,142563.7,1878.8,4.681172177,14.30260783,21.32633641,2022-04-01,41349.3
19.0,125.66184,7.126,142642.8,1793.4,4.645636142,14.3991386,20.62407244,2022-05-01,42284.700000000004
19.0,129.41848,7.1908,145156.9,1781.8,4.561134052,14.06463299,19.35896644,2022-06-01,43220.1
19.0,133.48796,7.3908,150415.5,1676.4,4.644364208,14.19898437,18.5703569,2022-07-01,44155.5
22.0,136.04654,8.0588,152455.8,1713.9,4.683848703,14.30196813,17.78609445,2022-08-01,45701.5
22.0,140.6,8.7472,53503.9,1632.8,4.496322655,14.05172986,16.39368075,2022-09-01,47247.5
24.5,144.4,11.1671,187659.2,1607.3,4.130491617,13.95523047,14.17634083,2022-10-01,48793.5
27.0,156.8,13.073,194979.4,1683.1,4.041262704,14.07750776,14.7352221,2022-11-01,48668.8
27.0,162.79,10.0347,180266.8,1741.1,-3.82767,16.59292,15.43739,2022-12-01,48544.1
28.0,165.6,9.9092,196993.7,1836.2,5.432046191,15.66994733,14.36391458,2023-01-01,48419.4
28.0,168.7,10.8636,202112.3,1776.5,5.066466637,16.55657478,12.59976454,2023-02-01,46353.666666666664
29.5,166.6,11.014,206986.4,1853.6,5.572081604,16.84905469,14.20400915,2023-03-01,44287.933333333334
29.5,170.5,10.9453,207528.2,1918.4,5.466140418,18.03541158,14.79263011,2023-04-01,42222.2
29.5,178.66022,10.9218,206945.3,1879.3,5.361450764,18.23590962,14.55679014,2023-05-01,43149.2
29.5,184.42168,10.9836,209620.6,1808.0,5.538575299,18.70755727,14.24,2023-06-01,44076.2
30.0,191.00229,11.002,212656.6,1818.3,5.52593,19.06315,14.18201,2023-07-01,45003.2
30.0,190.55675,11.0066,214595.1,1787.1,5.383055,20.04554,14.18031,2023-08-01,47095.83333333333
30.0,194.13016,11.0629,63496.22,1772.0,5.330132452,17.99443334,13.80196883,2023-09-01,49188.46666666667
30.0,195.2424,11.3354,225838.9,1844.5,5.517630693,18.31434248,13.43491857,2023-10-01,51281.1
30.0,198.24199,11.5494,233847.4,1863.8,5.632754446,18.28437177,13.24981229,2023-11-01,51060.73333333333
30.0,200.53905,11.6511,250019.2,1925.5,5.369376675,20.57841414,13.86546764,2023-12-01,50840.36666666667
29.0,204.55,11.9344,246176.4,1897.5,5.6072,23.7,12.82,2024-01-01,50620.0
29.0,207.79,12.2301,253699.1,1904.7,5.202,24.61,13.58,2024-02-01,48626.6
29.0,209.54,12.6674,261119.5,2035.1,5.6329,26.74,15.88,2024-03-01,46633.200000000004
29.0,213.27,13.0381,269605.1,2210.3,5.3881,25.66,15.47,2024-04-01,44639.8
29.0,220.02,13.7823,276087.8,2242.3,5.4246,24.52,14.72,2024-05-01,45812.9
29.0,226.38,14.3274,281039.0,2208.9,5.3953,24.18,14.29,2024-06-01,46986.0
29.0,231.02,14.7467,287681.8,2275.0,5.054,24.8,14.01,2024-07-01,48159.1
29.0,229.38,15.1037,294288.2,2330.8,4.9432,24.32,13.7,2024-08-01,50091.76666666666
27.0,235.81,15.5575,311180.28,2464.4,5.0549,22.77,14.38,2024-09-01,52024.433333333334
27.0,237.83,15.9889,324754.498,2579.9,4.9572,22.67,14.27,2024-10-01,53957.1
27.0,243.91,15.9834,326166.6168,2538.6,4.8148,21.81,14.28,2024-11-01,53917.13333333333
27.0,248.34,14.7805,329781.2924,2514.8,5.0448,21.79,14.0,2024-12-01,53877.166666666664
27.0,252.62,14.972,333079.8646,2607.9,4.8529,22.55,13.71,2025-01-01,53837.2
27.0,255.89,15.486,337575.6517,2788.9,4.6716,22.57,14.35,2025-02-01,51733.83333333333
28.0,256.53,15.5316,343931.9177,2867.2,4.9633,23.44,17.1,2025-03-01,49630.46666666667
28.0,258.59,15.2216,341660.8419,3129.9,4.9826,23.57,17.52,2025-04-01,47527.1
28.0,260.46,12.0751,326010.318,3179.4,5.3479,23.61,20.26,2025-05-01,48616.666666666664
28.0,257.32,10.284,324994.6212,3259.3,5.6095,23.09,19.7,2025-06-01,49706.23333333334
25.0,259.06,10.417,336815.7613,3217.48,5.5875,21.74,19.1,2025-07-01,50795.8
